-- See https://github.com/microsoft/terminal/issues/17342.

-- Some unqualified emoji forms get treated as 1 cell wide because that's how
-- they were handled by the earliest terminal programs with emoji support.

-- Fully-qualified forms are treated as 2 cells wide.

-- Clink attempts to parse skin tone selectors, but does not yet attempt to
-- parse other kinds of selectors/etc (such as gender).

; Omit skin tone selectors so their widths are 0.
1F3FB                                                  ;                     # light skin tone
1F3FC                                                  ;                     # medium-light skin tone
1F3FD                                                  ;                     # medium skin tone
1F3FE                                                  ;                     # medium-dark skin tone
1F3FF                                                  ;                     # dark skin tone

263A FE0F                                              ; fully-qualified     # ☺️ E0.6 smiling face
263A                                                   ; unqualified         # ☺ E0.6 smiling face

2639 FE0F                                              ; fully-qualified     # ☹️ E0.7 frowning face
2639                                                   ; unqualified         # ☹ E0.7 frowning face

2620 FE0F                                              ; fully-qualified     # ☠️ E1.0 skull and crossbones
2620                                                   ; unqualified         # ☠ E1.0 skull and crossbones

2763 FE0F                                              ; fully-qualified     # ❣️ E1.0 heart exclamation
2763                                                   ; unqualified         # ❣ E1.0 heart exclamation
2764 FE0F 200D 1F525                                   ; fully-qualified     # ❤️‍🔥 E13.1 heart on fire
2764 200D 1F525                                        ; unqualified         # ❤‍🔥 E13.1 heart on fire
2764 FE0F 200D 1FA79                                   ; fully-qualified     # ❤️‍🩹 E13.1 mending heart
2764 200D 1FA79                                        ; unqualified         # ❤‍🩹 E13.1 mending heart
2764 FE0F                                              ; fully-qualified     # ❤️ E0.6 red heart
2764                                                   ; unqualified         # ❤ E0.6 red heart

1F573 FE0F                                             ; fully-qualified     # 🕳️ E0.7 hole
1F573                                                  ; unqualified         # 🕳 E0.7 hole
1F441 FE0F 200D 1F5E8 FE0F                             ; fully-qualified     # 👁️‍🗨️ E2.0 eye in speech bubble
1F441 200D 1F5E8 FE0F                                  ; unqualified         # 👁‍🗨️ E2.0 eye in speech bubble
1F441 FE0F 200D 1F5E8                                  ; minimally-qualified # 👁️‍🗨 E2.0 eye in speech bubble
1F441 200D 1F5E8                                       ; unqualified         # 👁‍🗨 E2.0 eye in speech bubble
1F5E8 FE0F                                             ; fully-qualified     # 🗨️ E2.0 left speech bubble
1F5E8                                                  ; unqualified         # 🗨 E2.0 left speech bubble
1F5EF FE0F                                             ; fully-qualified     # 🗯️ E0.7 right anger bubble
1F5EF                                                  ; unqualified         # 🗯 E0.7 right anger bubble

1F590 FE0F                                             ; fully-qualified     # 🖐️ E0.7 hand with fingers splayed
1F590                                                  ; unqualified         # 🖐 E0.7 hand with fingers splayed
1F590 1F3FB                                            ; fully-qualified     # 🖐🏻 E1.0 hand with fingers splayed: light skin tone
1F590 1F3FC                                            ; fully-qualified     # 🖐🏼 E1.0 hand with fingers splayed: medium-light skin tone
1F590 1F3FD                                            ; fully-qualified     # 🖐🏽 E1.0 hand with fingers splayed: medium skin tone
1F590 1F3FE                                            ; fully-qualified     # 🖐🏾 E1.0 hand with fingers splayed: medium-dark skin tone
1F590 1F3FF                                            ; fully-qualified     # 🖐🏿 E1.0 hand with fingers splayed: dark skin tone

270C FE0F                                              ; fully-qualified     # ✌️ E0.6 victory hand
270C                                                   ; unqualified         # ✌ E0.6 victory hand
270C 1F3FB                                             ; fully-qualified     # ✌🏻 E1.0 victory hand: light skin tone
